node_id,longitude,latitude,node_type,source_id
N12d4809044_41d8924363,12.4809044,41.8924363,road_vertex,way/123817459
N12d4809051_41d8958553,12.4809051,41.8958553,road_vertex,way/125226009
N12d4809065_41d8923736,12.4809065,41.8923736,road_vertex,way/123817459
N12d4809080_41d8873841,12.4809080,41.8873841,road_vertex,way/1216295042
N12d4809104_41d8949259,12.4809104,41.8949259,road_vertex,way/1137951732
N12d4809146_41d8960608,12.4809146,41.8960608,road_vertex,way/125226009
N12d4809156_41d8895599,12.4809156,41.8895599,road_vertex,way/961979106
N12d4809184_41d8877590,12.4809184,41.8877590,road_vertex,way/1216295043
N12d4809211_41d8949825,12.4809211,41.8949825,road_vertex,way/1044774782
N12d4809230_41d8924046,12.4809230,41.8924046,road_vertex,way/123817459
N12d4809240_41d8912556,12.4809240,41.8912556,road_vertex,way/123817469
N12d4809277_41d8949043,12.4809277,41.8949043,road_vertex,way/1137951732
N12d4809291_41d8940714,12.4809291,41.8940714,road_vertex,way/125226018
N12d4809333_41d8888088,12.4809333,41.8888088,road_vertex,way/123971370
N12d4809333_41d8925202,12.4809333,41.8925202,road_vertex,way/123817457
N12d4809345_41d8903670,12.4809345,41.8903670,road_vertex,way/1359177418
N12d4809352_41d8948894,12.4809352,41.8948894,road_vertex,way/1137951732
N12d4809359_41d8895139,12.4809359,41.8895139,road_vertex,way/1216287333
N12d4809390_41d8958396,12.4809390,41.8958396,road_vertex,way/125226009
N12d4809396_41d8948725,12.4809396,41.8948725,road_vertex,way/1137951732
N12d4809422_41d8895001,12.4809422,41.8895001,road_vertex,way/1216287333
N12d4809425_41d8849651,12.4809425,41.8849651,road_vertex,way/24534752
N12d4809476_41d8921815,12.4809476,41.8921815,road_vertex,way/123817458
N12d4809499_41d8960749,12.4809499,41.8960749,road_vertex,way/125226009
N12d4809503_41d8950048,12.4809503,41.8950048,road_vertex,way/1137951710
N12d4809509_41d8949585,12.4809509,41.8949585,road_vertex,way/10639982
N12d4809546_41d8887284,12.4809546,41.8887284,road_vertex,way/39483817
N12d4809575_41d8882603,12.4809575,41.8882603,road_vertex,way/1220408612
N12d4809584_41d8908753,12.4809584,41.8908753,road_vertex,way/1359176521
N12d4809601_41d8880747,12.4809601,41.8880747,road_vertex,way/1216287332
N12d4809611_41d8898814,12.4809611,41.8898814,road_vertex,way/961979107
N12d4809729_41d8912154,12.4809729,41.8912154,road_vertex,way/123817469
N12d4809767_41d8958300,12.4809767,41.8958300,road_vertex,way/125226009
N12d4809779_41d8895067,12.4809779,41.8895067,road_vertex,way/1216287331
N12d4809781_41d8878778,12.4809781,41.8878778,road_vertex,way/1216287332
N12d4809786_41d8912919,12.4809786,41.8912919,road_vertex,way/123817475
N12d4809816_41d8950260,12.4809816,41.8950260,road_vertex,way/1137951716
N12d4809823_41d8898333,12.4809823,41.8898333,road_vertex,way/81836874
N12d4809826_41d8949253,12.4809826,41.8949253,road_vertex,way/10639982
N12d4809840_41d8946233,12.4809840,41.8946233,road_vertex,way/1137951732
N12d4809849_41d8890269,12.4809849,41.8890269,road_vertex,way/40860384
N12d4809850_41d8883229,12.4809850,41.8883229,road_vertex,way/40860382
N12d4809888_41d8960825,12.4809888,41.8960825,road_vertex,way/125226009
N12d4809915_41d8912978,12.4809915,41.8912978,road_vertex,way/123817475
N12d4809935_41d8925639,12.4809935,41.8925639,road_vertex,way/123817457
N12d4809967_41d8945642,12.4809967,41.8945642,road_vertex,way/1137951732
N12d4809998_41d8894945,12.4809998,41.8894945,road_vertex,way/1216287331
N12d4809999_41d8921744,12.4809999,41.8921744,road_vertex,way/123817458
N12d4810021_41d8912030,12.4810021,41.8912030,road_vertex,way/123817473
N12d4810028_41d8878872,12.4810028,41.8878872,road_vertex,way/1216287332
N12d4810039_41d8902024,12.4810039,41.8902024,road_vertex,way/1359177418
N12d4810070_41d8945686,12.4810070,41.8945686,road_vertex,way/713339405
N12d4810098_41d8881238,12.4810098,41.8881238,road_vertex,way/834012172
N12d4810121_41d8948807,12.4810121,41.8948807,road_vertex,way/10639982
N12d4810136_41d8888762,12.4810136,41.8888762,road_vertex,way/1005876886
N12d4810136_41d8912506,12.4810136,41.8912506,road_vertex,way/123817475
N12d4810156_41d8880291,12.4810156,41.8880291,road_vertex,way/1216287332
N12d4810164_41d8958272,12.4810164,41.8958272,road_vertex,way/125226009
N12d4810176_41d8917383,12.4810176,41.8917383,road_vertex,way/123817471
N12d4810188_41d8943348,12.4810188,41.8943348,road_vertex,way/22979122
N12d4810193_41d8911575,12.4810193,41.8911575,road_vertex,way/123817470
N12d4810208_41d8929449,12.4810208,41.8929449,road_vertex,way/1393890966
N12d4810229_41d8912169,12.4810229,41.8912169,road_vertex,way/123817473
N12d4810248_41d8930719,12.4810248,41.8930719,road_vertex,way/1238101040
N12d4810255_41d8912575,12.4810255,41.8912575,road_vertex,way/123817476
N12d4810289_41d8960832,12.4810289,41.8960832,road_vertex,way/125226009
N12d4810307_41d8998133,12.4810307,41.8998133,road_vertex,way/1175160235
N12d4810315_41d8950120,12.4810315,41.8950120,road_vertex,way/1137951710
N12d4810333_41d8882014,12.4810333,41.8882014,road_vertex,way/1220408612
N12d4810347_41d8879902,12.4810347,41.8879902,road_vertex,way/1216287332
N12d4810368_41d8948337,12.4810368,41.8948337,road_vertex,way/36779947
N12d4810377_41d8912472,12.4810377,41.8912472,road_vertex,way/123817476
N12d4810417_41d8888777,12.4810417,41.8888777,road_vertex,way/1005876886
N12d4810424_41d8877190,12.4810424,41.8877190,road_vertex,way/834012175
N12d4810539_41d8882358,12.4810539,41.8882358,road_vertex,way/27350526
N12d4810554_41d8921956,12.4810554,41.8921956,road_vertex,way/123817458
N12d4810554_41d8997528,12.4810554,41.8997528,road_vertex,way/1175160235
N12d4810560_41d8958313,12.4810560,41.8958313,road_vertex,way/125226009
N12d4810564_41d8881723,12.4810564,41.8881723,road_vertex,way/834012172
N12d4810579_41d8910806,12.4810579,41.8910806,road_vertex,way/1238101044
N12d4810629_41d8964795,12.4810629,41.8964795,road_vertex,way/140186878
N12d4810647_41d8939923,12.4810647,41.8939923,road_vertex,way/125226018
N12d4810649_41d8926099,12.4810649,41.8926099,road_vertex,way/123817457
N12d4810679_41d8964646,12.4810679,41.8964646,road_vertex,way/140186878
N12d4810681_41d8960769,12.4810681,41.8960769,road_vertex,way/125226009
N12d4810700_41d8912416,12.4810700,41.8912416,road_vertex,way/123817476
N12d4810717_41d8881979,12.4810717,41.8881979,road_vertex,way/1220408612
N12d4810770_41d8946191,12.4810770,41.8946191,road_vertex,way/215331126
N12d4810788_41d8900141,12.4810788,41.8900141,road_vertex,way/1359177418
N12d4810887_41d8950042,12.4810887,41.8950042,road_vertex,way/1137951709
N12d4810898_41d8945769,12.4810898,41.8945769,road_vertex,way/215331126
N12d4810919_41d8895998,12.4810919,41.8895998,road_vertex,way/43675696
N12d4810931_41d8958420,12.4810931,41.8958420,road_vertex,way/125226009
N12d4810959_41d8928760,12.4810959,41.8928760,road_vertex,way/1238101041
N12d4810966_41d8922299,12.4810966,41.8922299,road_vertex,way/123817458
N12d4810982_41d8909809,12.4810982,41.8909809,road_vertex,way/32504840
N12d4810986_41d8899125,12.4810986,41.8899125,road_vertex,way/961979107
N12d4811006_41d8876992,12.4811006,41.8876992,road_vertex,way/1216295042
N12d4811044_41d8960642,12.4811044,41.8960642,road_vertex,way/125226009
N12d4811054_41d8887211,12.4811054,41.8887211,road_vertex,way/39483889
N12d4811098_41d8996075,12.4811098,41.8996075,road_vertex,way/1175160235
N12d4811103_41d8945108,12.4811103,41.8945108,road_vertex,way/215331126
N12d4811158_41d8885187,12.4811158,41.8885187,road_vertex,way/123971362
N12d4811172_41d8836911,12.4811172,41.8836911,road_vertex,way/190509871
N12d4811172_41d8922747,12.4811172,41.8922747,road_vertex,way/123817458
N12d4811198_41d8939421,12.4811198,41.8939421,road_vertex,way/125226016
N12d4811202_41d8895381,12.4811202,41.8895381,road_vertex,way/124077475
N12d4811206_41d8884882,12.4811206,41.8884882,road_vertex,way/123971362
N12d4811222_41d8928531,12.4811222,41.8928531,road_vertex,way/99368265
