edge_id,from_node_id,to_node_id,distance_km,travel_time_min,highway,surface,access,oneway,lit,wheelchair,routable_walk,source_id
Eway/11491481_25,N12d4937575_41d8904966,N12d4937128_41d8905316,0.005370,0.06,footway,asphalt,,,yes,,yes,way/11491481
Eway/11491481_25_R,N12d4937128_41d8905316,N12d4937575_41d8904966,0.005370,0.06,footway,asphalt,,,yes,,yes,way/11491481
Eway/11491481_26,N12d4937128_41d8905316,N12d4936719_41d8905578,0.004466,0.05,footway,asphalt,,,yes,,yes,way/11491481
Eway/11491481_26_R,N12d4936719_41d8905578,N12d4937128_41d8905316,0.004466,0.05,footway,asphalt,,,yes,,yes,way/11491481
Eway/11491481_27,N12d4936719_41d8905578,N12d4936178_41d8905852,0.005416,0.06,footway,asphalt,,,yes,,yes,way/11491481
Eway/11491481_27_R,N12d4936178_41d8905852,N12d4936719_41d8905578,0.005416,0.06,footway,asphalt,,,yes,,yes,way/11491481
Eway/11491481_28,N12d4936178_41d8905852,N12d4932051_41d8907899,0.041050,0.49,footway,asphalt,,,yes,,yes,way/11491481
Eway/11491481_28_R,N12d4932051_41d8907899,N12d4936178_41d8905852,0.041050,0.49,footway,asphalt,,,yes,,yes,way/11491481
Eway/22880307_0,N12d4827434_41d8913332,N12d4828905_41d8911942,0.019676,0.24,service,sett,,yes,,,yes,way/22880307
Eway/22880307_1,N12d4828905_41d8911942,N12d4826109_41d8910467,0.028366,0.34,service,sett,,yes,,,yes,way/22880307
Eway/22880307_2,N12d4826109_41d8910467,N12d4825938_41d8910415,0.001529,0.02,service,sett,,yes,,,yes,way/22880307
Eway/22880307_3,N12d4825938_41d8910415,N12d4825779_41d8910393,0.001339,0.02,service,sett,,yes,,,yes,way/22880307
Eway/22880307_4,N12d4825779_41d8910393,N12d4825634_41d8910389,0.001201,0.01,service,sett,,yes,,,yes,way/22880307
Eway/22880307_5,N12d4825634_41d8910389,N12d4825437_41d8910410,0.001647,0.02,service,sett,,yes,,,yes,way/22880307
Eway/22880307_6,N12d4825437_41d8910410,N12d4825249_41d8910457,0.001642,0.02,service,sett,,yes,,,yes,way/22880307
Eway/22880307_7,N12d4825249_41d8910457,N12d4825075_41d8910516,0.001583,0.02,service,sett,,yes,,,yes,way/22880307
Eway/22880307_8,N12d4825075_41d8910516,N12d4825015_41d8910553,0.000645,0.01,service,sett,,yes,,,yes,way/22880307
Eway/22880307_9,N12d4825015_41d8910553,N12d4824923_41d8910614,0.001020,0.01,service,sett,,yes,,,yes,way/22880307
Eway/22880307_10,N12d4824923_41d8910614,N12d4824861_41d8910676,0.000859,0.01,service,sett,,yes,,,yes,way/22880307
